Person Name,Role,Company Name,Classification,Interest Areas,url
Emile Ernandez,Managing Director,Kawa Capital Management,Investor,"Private Credit, ABS, ESG/PACE/Solar ABS, Direct Lending, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDA4MTI=
"
Alex Knowland,Vice President,Comvest Credit Partners,Investor,Direct Lending,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI2NTM=
"
Nicholas Martucci,Senior Associate,Kawa Capital Management,Investor,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, ESG/PACE/Solar ABS, Distressed Debt","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMTk=
"
Tim Kim,MD,Comvest Partners,Investor,Direct Lending,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI2NDM=
"
Efe Birkan,Whole Loan Trader,Santander,Investment Bank or Broker Dealer,Whole Loan/NPL/RPL,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzM3Mjg2OTE=
"
Joseph Lau,President & CIO,Lord Capital,Investor,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, CMBS, Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Sustainable Finance","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDA3OTM=
"
John Mendell,Managing Director,Comvest Credit Partners,Investor,"CLOs/Leveraged Loans, Private Credit","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIyODU=
"
Gabriel Schuch,Vice President,Raven Capital Management,Investor,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, CMBS, Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Fintech/AI, Sustainable Finance, Risk Transfer, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDA2NjQ=
"
Parla Ozgediz,Founder / Capital Markets Advisor,"7Mile Financing Solutions, LLC",Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Distressed Debt, Corporate Funding/Investment, Emerging Markets, Fintech/AI, Sustainable Finance, Whole Loan/NPL/RPL, Hybrid Capital","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDM5NjA=
"
Alan Nowell,SVP - Whole Loan Trading,NexBank,Investor,Whole Loan/NPL/RPL,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzM5MzQ2NTk=
"
David Peskin,CEO,Hightechlending dba American Senior Lending,Issuer,"Private Credit, Direct Lending, Whole Loan/NPL/RPL, Hybrid Capital, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNjQ1MzM=
"
Pratik Mehta,Director,Sunlight Financial,Issuer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQyODU3NzI=
"
Casper Yonel,CEO & Co-Founder,Blu Financiero,Issuer,"Private Credit, ABS, Consumer ABS, Emerging Markets, Fintech/AI, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxNTgzOTc=
"
Camilo Concha,CEO,LendingUSA,Issuer,"Consumer ABS, Direct Lending, Corporate Funding/Investment, Whole Loan/NPL/RPL, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxMTA5OTQ=
"
Aidan McCartan,Corporate Intelligence Advisor,LatinNews,Other,"Corporate Funding/Investment, Emerging Markets, Regulation/policy, SSA Funding/Investment, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQwODgzNTY=
"
Debra Donan,"Principal, Account Executive",CoreLogic,Service Provider,"RMBS (GSE and PLS), Emerging Markets, Risk Transfer, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQwNjg1NTY=
"
Irv Adu-Gyamfi,Producer,IMN,Other,,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQ0NjAxNjY=
"
Viravyne Chhim Bip,General Counsel & CCO,MGG Investment Group,Investor,"CLOs/Leveraged Loans, Private Credit","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQ0NTMzOTA=
"
"Craig Bain, CFA",Consultant,Sascon,Other,"CLOs/Leveraged Loans, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQ0MTQ2MjA=
"
Ryo Yoshida,Executive Director,SMBC,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzOTM0NDc=
"
Vita Anes,Associate,CGI Merchant Group,Investor,"CLOs/Leveraged Loans, CMBS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzM1NTE2MDY=
"
Raoul Thomas,Founder & CEO,CGI Merchant Group,Investor,"CLOs/Leveraged Loans, CMBS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzM1NTE2MDU=
"
Heidi Skor,Managing Director,Rothschild & Co,Issuer,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDE4MTk=
"
Kamil Homsi,Founder/CEO,GRC Investment Group,Investor,Whole Loan/NPL/RPL,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDA4Njc=
"
Jeff Farron,"Managing Director, Structured Finance",Assured Guaranty,Issuer,Commercial ABS (Equipment/Aircraft/Transportation),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzM5ODM2MTc=
"
Sengal Selassie,CEO and Founder,"Brightwood Capital Advisors, LLC",Issuer,ESG/PACE/Solar ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDE1MDA=
"
Scott Rosen,Partner,Ares Management,Other,Direct Lending,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMTM=
"
Anubhav Raj,CIO,Aligned Data Centers,Service Provider,Corporate Funding/Investment,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzM4MTEwNzY=
"
Andrew Deitz,Co Founder & Head of BD,Spring Free EV,Investor,"Private Credit, Fintech/AI, Sustainable Finance","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODQzNjk=
"
Anne-Sofie Biltoft,Senior Associate Investment & Strategy,Irradiant Partners,Issuer,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODQzNjY=
"
SUNDANCE BRENNAN,Head of Revenue,Nada Loans LLC,Issuer,"ESG/PACE/Solar ABS, Emerging Markets, Fintech/AI","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODQzNTg=
"
Andy Pham,Associate Portfolio Manager,Nuveen,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODQzNTU=
"
Randy Bertrand,Event Staff,York Street,Other,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODMyNDQ=
"
Jeff Mullins,"Managing Director | Trader, RMBS & ABS Credit",Hilltop Securities,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Direct Lending, Distressed Debt, Risk Transfer","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODMyNDM=
"
Aleksandra Simanovsky,Founder,Adige Advisory,Service Provider,"Private Credit, ABS, CMBS, RMBS (GSE and PLS), Direct Lending","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODM2NDI=
"
Donal Smith,Director Asset Securitization,ING,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODE2OTA=
"
Adrian Radulescu,Consultant,AMR,Other,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODAzOTM=
"
Alex Bashan,Partner,Clear Haven Capital Management,Investor,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODAzOTI=
"
Rickyk Schwartz,Portfolio Manager,Angel Oak Capital,Investor,"RMBS (GSE and PLS), Risk Transfer","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODAzOTE=
"
Vikrant Manwatkar,Director,RBC (Barbados) Trading Bank Corp,Investor,"CLOs/Leveraged Loans, ABS, CMBS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzkzNDc=
"
Matthew Hicks,Senior Portfolio Manager,RBC (Barbados) Trading Bank Corporation,Investor,"CLOs/Leveraged Loans, ABS, CMBS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzkzNDY=
"
Petra Callaly,Sales Director,Invisso,Other,"CLOs/Leveraged Loans, Private Credit, ABS, CMBS, Direct Lending, Risk Transfer","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzY1NzM=
"
Jin Fu,Director,KKR,Issuer,"Private Credit, RMBS (GSE and PLS)","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzUyOTI=
"
Brandy Illausky,"Vice President, Business Development",Keybank,Service Provider,"ABS, CMBS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzUyODk=
"
Charlie Willis,Executive Chairman,Willis Lease Finance Corporation,Issuer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzMzMTA=
"
Akhil Mago,Founder,Indago Capital,Investor,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzMzMDk=
"
Adam Grainger,Director,The Fixed Income Investor Network,Other,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, RMBS (GSE and PLS), Consumer ABS, Direct Lending, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzEyNTI=
"
Mark Hughes,"SVP, TD Bank N.A.",TD Bank,Investor,Whole Loan/NPL/RPL,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzEyNDg=
"
Rich Weihe,Managing Director,Rosemawr Management,Issuer,ESG/PACE/Solar ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzEyNDc=
"
Daniel Slotkin,Head of the CLO Management Business,Napier Park Global Capital,Issuer,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzEyNDU=
"
David Peskin,CEO,Hightechlending dba American Senior Lending,Issuer,"Private Credit, Direct Lending, Whole Loan/NPL/RPL, Hybrid Capital, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNjQ1MzM=
"
John Goldston,Vice President,"Prosper Marketplace, Inc.",Issuer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTQ0MzA=
"
David Zhang,Managing Director,MSCI,Service Provider,Emerging Markets,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTMwNTk=
"
Stephanie Setyadi,Managing Director,Ivy Hill Asset Management,Issuer,"CLOs/Leveraged Loans, Private Credit, Direct Lending","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTM2MjA=
"
Geoffrey Matt,CFO,"Power Pay, LLC",Issuer,"CLOs/Leveraged Loans, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTM2MTY=
"
Joseph Ehardt,Principal,Ares / Ivy Hill Asset Management,Issuer,"CLOs/Leveraged Loans, Private Credit, Direct Lending","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTM2MTI=
"
Song Yi,CFO,Standard Solar,Issuer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTM2MTE=
"
Michael Rossi,"VP, Corporate Development & Capital Markets",Neo Financial,Issuer,"CLOs/Leveraged Loans, Private Credit, ABS, Consumer ABS, Direct Lending, Corporate Funding/Investment, Fintech/AI, Risk Transfer, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTM2MDg=
"
Lin Chang,Head of CLO Structuring & Structured Products Specialist,"Elmwood Asset Management, LLC",Issuer,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTM2MDc=
"
Matt Woods,Partner,DWS,Issuer,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTIyMTc=
"
Barry Sloane,Chief Executive Officer/Founder/President,Newtek Business Services,Issuer,"Commercial ABS (Equipment/Aircraft/Transportation), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTIyMTI=
"
Steven Odesser,"SVP, Growth",Intain,Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, Sustainable Finance","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTIyMDY=
"
Reggie de Villiers,Head Of Latam Origination & Structured Dcm,UBS,Investment Bank or Broker Dealer,Distressed Debt,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTIyMDU=
"
Hong Zhang,Director,Barclays,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTA5OTI=
"
Kesi Wang,Head CRT Trader,Bank of America,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, ABS, RMBS (GSE and PLS), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTA5ODQ=
"
Victor Mueller-Spreer,Vice President,Bank of America,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, ABS, RMBS (GSE and PLS), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTA5ODM=
"
Thomas V Inglesby,Managing Director & Portfolio Manager,Saratoga Partners,Issuer,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTA5ODE=
"
Rodrigo Calvo,Director,BACCT,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, ABS, RMBS (GSE and PLS), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTA5ODA=
"
Vikrant agnihotri,Managing Director; Co-Head of US Mortgage Trading,BACCT,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, ABS, RMBS (GSE and PLS)","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTA5Nzk=
"
David Sklar,Managing Director,Bank of America,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, ABS, RMBS (GSE and PLS), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTA5Nzg=
"
Matthew Dunlap,Executive Director,Nelnet,Service Provider,"Corporate Funding/Investment, Fintech/AI","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNTA5NzY=
"
Melissa Whelan,Director,Bank of America,Investment Bank or Broker Dealer,"ABS, RMBS (GSE and PLS), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDg5MzQ=
"
Troy Fernandez,Vice President,Bank of America,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, ABS, RMBS (GSE and PLS)","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDg5MzI=
"
Craig Slater,Director,Bank of America,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDg5Mjg=
"
Ryan Driscoll,Managing Director,Bank of America,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, ABS, RMBS (GSE and PLS), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDg5Mjc=
"
Julie Zach,Associate,Bank of America,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, ABS, RMBS (GSE and PLS)","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDg5MjY=
"
Bill Johnston,Managing Director,Bank of America,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, ABS, RMBS (GSE and PLS)","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDg5MjU=
"
Shaz Mahini,Managing Director,BofA Securities,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, ABS, RMBS (GSE and PLS)","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDg5MjQ=
"
Michael Cohn,Director,Bank of America,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, ABS, RMBS (GSE and PLS)","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDg5MjM=
"
Dhruv Panchal,Vice President,Goldman Sachs Asset Management,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDc4NjE=
"
Jane Fox,Vice President,Goldman Sachs Asset Management,Investor,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, RMBS (GSE and PLS), Consumer ABS, ESG/PACE/Solar ABS, Fintech/AI","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDc4NTk=
"
Amanda Steinberg,HR Vice President,ATLAS SP,Investor,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDc4NTI=
"
Cameron Clark,Vice President,Axos Bank,Investor,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, Consumer ABS, Direct Lending, Distressed Debt, Corporate Funding/Investment, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDc4NDc=
"
Zach Marsh,SVP – Accounting & Analysis,AP Equipment,Issuer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDE3MzI=
"
Eimear Gilmartin,Assistant Treasurer,Aercap,Issuer,Commercial ABS (Equipment/Aircraft/Transportation),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDE3MzA=
"
Erik Quintana,Portfolio Manager,"Irradiant Partners, LP",Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDE3MjY=
"
Ujjaval Desai,Head of Structured Products Investing/Portfolio Manager,Sound Point,Issuer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDE3MjM=
"
Michael Langen,Managing Director,JP Morgan,Investment Bank or Broker Dealer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDE3MjA=
"
Zach Carr,Executive Director,Morgan Stanley,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, CMBS, RMBS (GSE and PLS), Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Distressed Debt, Sustainable Finance, Risk Transfer, Whole Loan/NPL/RPL, Hybrid Capital","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNDE3MTk=
"
Ros Irving,CEO,Invisso,Other,,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzMzY3NDY=
"
Amanda Talboys,Chief of Staff,Delinian,Other,Private Credit,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzMzY3NDU=
"
Victoria Chatterton,"MD, Product & Investor Relations",Invisso,Other,Private Credit,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzMzA1NzY=
"
Robert Brasfield,Senior Managing Director,Trimont,Service Provider,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, CMBS, ESG/PACE/Solar ABS, Direct Lending, Distressed Debt, Fintech/AI, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzMTA2Nzc=
"
Theo Fleishman,Managing Director,Nearwater,Investor,"CLOs/Leveraged Loans, RMBS (GSE and PLS), Consumer ABS, ESG/PACE/Solar ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzMDcyMjM=
"
Robb Dunne,Sales,Morgan Stanley,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, CMBS, RMBS (GSE and PLS), Consumer ABS, ESG/PACE/Solar ABS, Risk Transfer, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzMDUzODI=
"
Li Xu,Managing Partner,LXI Capital,Investor,"ESG/PACE/Solar ABS, Sustainable Finance","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQyODY5MzQ=
"
Steve Zhu,Managing Director,Blackstone,Investor,Risk Transfer,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQyODU3NzY=
"
Pratik Mehta,Director,Sunlight Financial,Issuer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQyODU3NzI=
"
Andrew DeGood,VP - Business Development,Service Provider,Service Provider,,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQyODU2MDg=
"
Mike Barker,Senior Account Executive,Ballard Global,Issuer,"Private Credit, Emerging Markets, Fintech/AI","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQyODQwNTM=
"
Greg Hampton,CEO,Bellinger Credit,Issuer,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQyODQwNTI=
"
Asher Benzaquen,"Associate Director, Transactional Solutions",Demica Limited,Service Provider,"ABS, Consumer ABS, ESG/PACE/Solar ABS, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQyNzczMTA=
"
Rovshan Danilov,Senior Vice President,BNY,Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, RMBS (GSE and PLS), Consumer ABS, Fintech/AI, Risk Transfer, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQyNjQ4MTM=
"
Mikhel Schecter,Counsel,"PAUL, WEISS, RIFKIND, WHARTON & GARRISON LLP",Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQyNDYwODM=
"
Geena Caporale,Associate,Lowenstein Sandler LLP,Service Provider,"ABS, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxODMzOTk=
"
Jonathan Wishnia,"Partner & Chair, Mortgage & Structured Finance Practice",Lowenstein Sandler LLP,Service Provider,"CLOs/Leveraged Loans, ABS, RMBS (GSE and PLS), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxODMzOTg=
"
Jennifer Monge,Associate,Lowenstein Sandler LLP,Service Provider,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), ABS, RMBS (GSE and PLS), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxODMzOTc=
"
Yelky Perez,Associate,Lowenstein Sandler LLP,Service Provider,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), ABS, RMBS (GSE and PLS), Consumer ABS, Corporate Funding/Investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxODMzOTY=
"
Brian Head,Mortgage and Structured Finance Transaction Manager,Lowenstein Sandler LLP,Service Provider,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), ABS, RMBS (GSE and PLS), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxODM0MDA=
"
Greg Schmidt,Managing Director,Barclays,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxNzExMzc=
"
David Hogan,"Director, Fiduciary Services",Appleby Global Services,Service Provider,"CLOs/Leveraged Loans, Regulation/policy","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxNzE3NjY=
"
Benjamin Woolf,Partner,Appleby,Service Provider,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxNzE3NjU=
"
Sunny Gulrajani,Vice President,Citigroup,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxNTgzOTg=
"
Casper Yonel,CEO & Co-Founder,Blu Financiero,Issuer,"Private Credit, ABS, Consumer ABS, Emerging Markets, Fintech/AI, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxNTgzOTc=
"
Ana Carolina De Oliveira,Head of TMT Americas,ING,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxNTU3Nzg=
"
Xiaowei Luan,Managing Partner,AX Partners,Other,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, Consumer ABS, ESG/PACE/Solar ABS, Regulation/policy, Whole Loan/NPL/RPL, Hybrid Capital","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxNDAwNTI=
"
William Weinstein,President & CEO,Oak Harbor Capital,Investment Bank or Broker Dealer,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxMzY1NjM=
"
Farrukh Iqbal,Portfolio Manager,Elliott Investment Management,Investor,Whole Loan/NPL/RPL,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxMzY1NTY=
"
Barton Haneberg,VP - Direct Sales,Numerix,Service Provider,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxMzMzODI=
"
